-1.0000000000,0.0000000000,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,-1.0000000000
1.0000000000,0.0000000000,0.0000000000,0.0000000000,-1.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-1.0000000000
1.0000000000,0.0000000010,0.0000013961,0.0000000010,-1.0000000000,-0.0000000002,0.0000013961,0.0000000002,-1.0000000000
1.0000000000,0.0000002540,0.0000087701,0.0000002540,-1.0000000000,-0.0000025467,0.0000087701,0.0000025467,-1.0000000000
0.9999999996,0.0000022657,0.0000271177,0.0000022663,-0.9999999998,-0.0000210627,0.0000271177,0.0000210628,-0.9999999994
0.9999999995,0.0000025990,0.0000310023,0.0000025997,-0.9999999997,-0.0000228417,0.0000310022,0.0000228418,-0.9999999993
0.9999999989,0.0000033957,0.0000466257,0.0000033966,-0.9999999998,-0.0000201423,0.0000466257,0.0000201425,-0.9999999987
0.9999999980,0.0000042136,0.0000636794,0.0000042143,-0.9999999999,-0.0000100194,0.0000636794,0.0000100197,-0.9999999979
0.9999999957,0.0000070031,0.0000929515,0.0000070027,-1.0000000000,0.0000042604,0.0000929515,-0.0000042598,-0.9999999957
0.9999999946,0.0000083397,0.0001038464,0.0000083388,-0.9999999999,0.0000087896,0.0001038465,-0.0000087888,-0.9999999946
0.9999999918,0.0000116046,0.0001275310,0.0000116024,-0.9999999998,0.0000175166,0.0001275312,-0.0000175151,-0.9999999917
0.9999999880,0.0000156316,0.0001538924,0.0000156276,-0.9999999995,0.0000258196,0.0001538928,-0.0000258172,-0.9999999878
0.9999999830,0.0000203837,0.0001830529,0.0000203776,-0.9999999992,0.0000337248,0.0001830536,-0.0000337211,-0.9999999827
0.9999999726,0.0000287886,0.0002321464,0.0000287782,-0.9999999986,0.0000448990,0.0002321477,-0.0000448923,-0.9999999720
0.9999999683,0.0000319119,0.0002499288,0.0000318998,-0.9999999983,0.0000484545,0.0002499304,-0.0000484465,-0.9999999676
0.9999999579,0.0000386102,0.0002875689,0.0000385942,-0.9999999977,0.0000553341,0.0002875710,-0.0000553230,-0.9999999571
0.9999999452,0.0000458764,0.0003278494,0.0000458561,-0.9999999970,0.0000619300,0.0003278522,-0.0000619150,-0.9999999443
0.9999999299,0.0000536632,0.0003705841,0.0000536379,-0.9999999962,0.0000682767,0.0003705878,-0.0000682568,-0.9999999290
0.9999999016,0.0000662247,0.0004387194,0.0000661907,-0.9999999948,0.0000774064,0.0004387246,-0.0000773773,-0.9999999008
0.9999998906,0.0000706292,0.0004623454,0.0000705921,-0.9999999943,0.0000803594,0.0004623511,-0.0000803268,-0.9999998899
0.9999998664,0.0000797322,0.0005107042,0.0000796882,-0.9999999931,0.0000861558,0.0005107110,-0.0000861151,-0.9999998659
0.9999998391,0.0000891937,0.0005602088,0.0000891423,-0.9999999918,0.0000918301,0.0005602170,-0.0000917802,-0.9999998389
0.9999998088,0.0000989730,0.0006104741,0.0000989136,-0.9999999904,0.0000974091,0.0006104837,-0.0000973487,-0.9999998089
0.9999997580,0.0001141687,0.0006863409,0.0001140962,-0.9999999879,0.0001056533,0.0006863529,-0.0001055750,-0.9999997589
0.9999997397,0.0001193629,0.0007115219,0.0001192858,-0.9999999870,0.0001083778,0.0007115349,-0.0001082929,-0.9999997410
0.9999997017,0.0001299244,0.0007613943,0.0001298377,-0.9999999851,0.0001138048,0.0007614091,-0.0001137059,-0.9999997037
0.9999996619,0.0001406972,0.0008102459,0.0001406007,-0.9999999830,0.0001192161,0.0008102627,-0.0001191021,-0.9999996646
0.9999996207,0.0001516589,0.0008576863,0.0001515521,-0.9999999808,0.0001246250,0.0008577052,-0.0001244950,-0.9999996244
0.9999995577,0.0001684315,0.0009253334,0.0001683087,-0.9999999770,0.0001327493,0.0009253557,-0.0001325935,-0.9999995631
0.9999995367,0.0001741071,0.0009467551,0.0001739790,-0.9999999757,0.0001354615,0.0009467787,-0.0001352967,-0.9999995427
0.9999994950,0.0001855807,0.0009876661,0.0001854416,-0.9999999729,0.0001408922,0.0009876922,-0.0001407089,-0.9999995023
0.9999994544,0.0001972161,0.0010257742,0.0001970661,-0.9999999699,0.0001463290,0.0010258031,-0.0001461268,-0.9999994632
0.9999994154,0.0002090108,0.0010608831,0.0002088499,-0.9999999667,0.0001517692,0.0010609147,-0.0001515476,-0.9999994257
0.9999993609,0.0002270233,0.0011075509,0.0002268463,-0.9999999615,0.0001599090,0.0011075871,-0.0001596576,-0.9999993739
0.9999993440,0.0002331201,0.0011214443,0.0002329378,-0.9999999596,0.0001626085,0.0011214822,-0.0001623472,-0.9999993580
0.9999993124,0.0002454609,0.0011467028,0.0002452685,-0.9999999558,0.0001679763,0.0011467440,-0.0001676949,-0.9999993284
0.9999992839,0.0002580096,0.0011686104,0.0002578073,-0.9999999518,0.0001732884,0.0011686551,-0.0001729870,-0.9999993022
0.9999992585,0.0002707745,0.0011872585,0.0002705627,-0.9999999475,0.0001785311,0.0011873068,-0.0001782097,-0.9999992793
0.9999992265,0.0002903646,0.0012094174,0.0002901396,-0.9999999406,0.0001862244,0.0012094714,-0.0001858734,-0.9999992513
0.9999992174,0.0002970228,0.0012153424,0.0002967936,-0.9999999381,0.0001887338,0.0012153983,-0.0001883729,-0.9999992437
0.9999992012,0.0003105430,0.0012251827,0.0003103060,-0.9999999331,0.0001936563,0.0012252427,-0.0001932759,-0.9999992307
0.9999991878,0.0003243491,0.0012325947,0.0003241047,-0.9999999278,0.0001984362,0.0012326590,-0.0001980365,-0.9999992207
0.9999991765,0.0003384552,0.0012379090,0.0003382040,-0.9999999222,0.0002030569,0.0012379776,-0.0002026380,-0.9999992132
0.9999991629,0.0003602125,0.0012427515,0.0003599522,-0.9999999132,0.0002096543,0.0012428269,-0.0002092068,-0.9999992058
0.9999991590,0.0003676313,0.0012437297,0.0003673682,-0.9999999101,0.0002117581,0.0012438075,-0.0002113011,-0.9999992041
0.9999991517,0.0003827209,0.0012450442,0.0003824525,-0.9999999036,0.0002158190,0.0012451267,-0.0002153426,-0.9999992016
0.9999991447,0.0003981511,0.0012458620,0.0003978777,-0.9999998967,0.0002196779,0.0012459493,-0.0002191820,-0.9999991998
0.9999991373,0.0004139231,0.0012466048,0.0004136450,-0.9999998895,0.0002233302,0.0012466971,-0.0002228144,-0.9999991980
0.9999991246,0.0004382203,0.0012485117,0.0004379355,-0.9999998780,0.0002284264,0.0012486116,-0.0002278795,-0.9999991945
0.9999991196,0.0004464909,0.0012495662,0.0004462038,-0.9999998740,0.0002300235,0.0012496687,-0.0002294658,-0.9999991928
0.9999991082,0.0004632837,0.0012525948,0.0004629921,-0.9999998657,0.0002330720,0.0012527026,-0.0002324918,-0.9999991883
0.9999990944,0.0004804019,0.0012571519,0.0004801056,-0.9999998569,0.0002359348,0.0012572651,-0.0002353310,-0.9999991820
0.9999990778,0.0004978252,0.0012635655,0.0004975241,-0.9999998478,0.0002386274,0.0012636841,-0.0002379986,-0.9999991732
0.9999990467,0.0005244927,0.0012772830,0.0005241835,-0.9999998332,0.0002423911,0.0012774100,-0.0002417214,-0.9999991549
0.9999990345,0.0005335149,0.0012830688,0.0005332027,-0.9999998282,0.0002435820,0.0012831985,-0.0002428976,-0.9999991472
0.9999990072,0.0005517395,0.0012966045,0.0005514211,-0.9999998177,0.0002458863,0.0012967399,-0.0002451710,-0.9999991292
0.9999989756,0.0005701829,0.0013128682,0.0005698576,-0.9999998069,0.0002481099,0.0013130094,-0.0002473615,-0.9999991074
0.9999989396,0.0005888102,0.0013319528,0.0005884774,-0.9999997955,0.0002502846,0.0013320999,-0.0002495005,-0.9999990816
0.9999988768,0.0006170242,0.0013659266,0.0006166785,-0.9999997777,0.0002535232,0.0013660828,-0.0002526806,-0.9999990350
0.9999988534,0.0006264874,0.0013786608,0.0006261369,-0.9999997716,0.0002546114,0.0013788200,-0.0002537479,-0.9999990172
0.9999988030,0.0006454774,0.0014061808,0.0006451169,-0.9999997589,0.0002568256,0.0014063462,-0.0002559182,-0.9999989783
0.9999987477,0.0006645257,0.0014363157,0.0006641541,-0.9999997459,0.0002591186,0.0014364875,-0.0002581644,-0.9999989349
0.9999986875,0.0006835911,0.0014688947,0.0006832076,-0.9999997324,0.0002615268,0.0014690731,-0.0002605229,-0.9999988870
0.9999985884,0.0007121510,0.0015218426,0.0007117479,-0.9999997115,0.0002654215,0.0015220312,-0.0002643379,-0.9999988068
0.9999985531,0.0007216484,0.0015404384,0.0007212383,-0.9999997043,0.0002668087,0.0015406305,-0.0002656973,-0.9999987779
0.9999984794,0.0007405866,0.0015788235,0.0007401616,-0.9999996897,0.0002697392,0.0015790228,-0.0002685702,-0.9999987173
0.9999984018,0.0007594246,0.0016185259,0.0007589839,-0.9999996747,0.0002729021,0.0016187326,-0.0002716733,-0.9999986529
0.9999983208,0.0007781314,0.0016592187,0.0007776740,-0.9999996594,0.0002763256,0.0016594332,-0.0002750349,-0.9999985853
0.9999981938,0.0008059062,0.0017213005,0.0008054220,-0.9999996359,0.0002819862,0.0017215271,-0.0002805993,-0.9999984788
0.9999981504,0.0008150810,0.0017420788,0.0008145874,-0.9999996279,0.0002840206,0.0017423096,-0.0002826010,-0.9999984422
0.9999980624,0.0008332914,0.0017834910,0.0008327785,-0.9999996117,0.0002883237,0.0017837306,-0.0002868379,-0.9999983680
0.9999979734,0.0008513077,0.0018244092,0.0008507746,-0.9999995952,0.0002929462,0.0018246578,-0.0002913935,-0.9999982929
0.9999978841,0.0008691185,0.0018645129,0.0008685646,-0.9999995784,0.0002978960,0.0018647710,-0.0002962759,-0.9999982174
0.9999977512,0.0008954436,0.0019224313,0.0008948570,-0.9999995528,0.0003059392,0.0019227044,-0.0003042182,-0.9999981053
0.9999977076,0.0009041164,0.0019409795,0.0009035188,-0.9999995442,0.0003087831,0.0019412578,-0.0003070287,-0.9999980686
0.9999976218,0.0009213131,0.0019767423,0.0009206927,-0.9999995266,0.0003147075,0.0019770313,-0.0003128868,-0.9999979967
0.9999975386,0.0009383176,0.0020105414,0.0009376742,-0.9999995089,0.0003209368,0.0020108415,-0.0003190508,-0.9999979274
0.9999974586,0.0009551333,0.0020422071,0.0009544665,-0.9999994909,0.0003274631,0.0020425188,-0.0003255130,-0.9999978611
0.9999973453,0.0009800308,0.0020853879,0.0009793285,-0.9999994634,0.0003377697,0.0020857178,-0.0003357266,-0.9999977685
0.9999973097,0.0009882540,0.0020985733,0.0009875398,-0.9999994541,0.0003413306,0.0020989095,-0.0003392572,-0.9999977397
0.9999972416,0.0010046010,0.0021230941,0.0010038630,-0.9999994354,0.0003486225,0.0021234431,-0.0003464902,-0.9999976855
0.9999971781,0.0010208296,0.0021451513,0.0010200680,-0.9999994163,0.0003561188,0.0021455136,-0.0003539296,-0.9999976357
0.9999971192,0.0010369562,0.0021647909,0.0010361710,-0.9999993970,0.0003637939,0.0021651668,-0.0003615497,-0.9999975907
0.9999970393,0.0010610045,0.0021898944,0.0010601845,-0.9999993675,0.0003755753,0.0021902915,-0.0003732525,-0.9999975316
0.9999970149,0.0010689961,0.0021971620,0.0010681647,-0.9999993575,0.0003795572,0.0021975663,-0.0003772092,-0.9999975142
0.9999969690,0.0010849608,0.0022101636,0.0010841067,-0.9999993372,0.0003875797,0.0022105826,-0.0003851825,-0.9999974825
0.9999969269,0.0011009183,0.0022212835,0.0011000421,-0.9999993167,0.0003956551,0.0022217176,-0.0003932103,-0.9999974547
0.9999968882,0.0011168878,0.0022307480,0.0011159899,-0.9999992958,0.0004037537,0.0022311974,-0.0004012629,-0.9999974304
0.9999968350,0.0011409103,0.0022423975,0.0011399805,-0.9999992637,0.0004158771,0.0022428704,-0.0004133195,-0.9999973993
0.9999968183,0.0011489457,0.0022457343,0.0011480056,-0.9999992529,0.0004198968,0.0022462151,-0.0004173174,-0.9999973902
0.9999967860,0.0011650694,0.0022517914,0.0011641088,-0.9999992309,0.0004278850,0.0022522882,-0.0004252623,-0.9999973732
0.9999967547,0.0011812749,0.0022572663,0.0011802941,-0.9999992085,0.0004357852,0.0022577793,-0.0004331195,-0.9999973574
0.9999967236,0.0011975721,0.0022624368,0.0011965715,-0.9999991857,0.0004435764,0.0022629662,-0.0004408678,-0.9999973423
0.9999966762,0.0012222103,0.0022702178,0.0012211804,-0.9999991508,0.0004550193,0.0022707720,-0.0004522454,-0.9999973195
