0.0000000000,0.0000000000,0.0000000000
-0.0000000000,-0.0000000000,-0.0024800000
0.0025347539,0.0000000442,-0.0069124494
0.0061293066,-0.0042992505,-0.0098049997
0.0072374425,-0.0035356579,-0.0154230609
0.0069523518,-0.0018167252,-0.0168344383
0.0061858345,0.0048300973,-0.0220745560
0.0054644760,0.0047549197,-0.0277607005
0.0041062458,0.0046494804,-0.0366023758
0.0036041999,0.0046161977,-0.0396187168
0.0025106410,0.0045495798,-0.0457541816
0.0013391911,0.0044832498,-0.0519981760
0.0001001765,0.0044191292,-0.0583335952
-0.0017989703,0.0043253800,-0.0679551070
-0.0024309601,0.0042949194,-0.0711816762
-0.0036729673,0.0042351512,-0.0776443078
-0.0048726750,0.0041764625,-0.0841070054
-0.0059885499,0.0041204625,-0.0905323007
-0.0074912771,0.0040423958,-0.1000873037
-0.0079360424,0.0040173486,-0.1032385382
-0.0087229559,0.0039699608,-0.1094734185
-0.0093644181,0.0039229792,-0.1156069298
-0.0098250679,0.0038759938,-0.1216078046
-0.0102317085,0.0038111453,-0.1303883371
-0.0102875490,0.0037900513,-0.1332495587
-0.0102576948,0.0037474508,-0.1388571176
-0.0100653733,0.0037058893,-0.1443225413
-0.0096786688,0.0036628714,-0.1496212853
-0.0088540755,0.0035995993,-0.1573267557
-0.0085144072,0.0035779593,-0.1598283264
-0.0077363706,0.0035333458,-0.1647302907
-0.0068497786,0.0034876947,-0.1695096529
-0.0058488189,0.0034402895,-0.1741618064
-0.0042668704,0.0033641940,-0.1809851472
-0.0037221082,0.0033377454,-0.1832202354
-0.0026122933,0.0032828592,-0.1876382016
-0.0015031251,0.0032249216,-0.1920032189
-0.0004013023,0.0031643910,-0.1963220012
0.0011323588,0.0030694269,-0.2027822001
0.0016076961,0.0030370656,-0.2049340996
0.0024920933,0.0029691814,-0.2092468248
0.0032725020,0.0029003099,-0.2135819223
0.0039325456,0.0028271424,-0.2179529786
0.0046663921,0.0027166064,-0.2245995709
0.0048426944,0.0026792206,-0.2268398701
0.0050777776,0.0026044040,-0.2313699854
0.0051597906,0.0025272952,-0.2359642054
0.0050793919,0.0024498463,-0.2406304657
0.0046845868,0.0023368149,-0.2477489504
0.0044839627,0.0022995068,-0.2501515206
0.0039731211,0.0022272535,-0.2550067034
0.0033375885,0.0021545955,-0.2599153778
0.0025841978,0.0020846341,-0.2648737005
0.0012803781,0.0019864666,-0.2723794144
0.0008114032,0.0019551882,-0.2748920046
-0.0001745832,0.0018952843,-0.2799314610
-0.0011994803,0.0018393415,-0.2849751242
-0.0022373930,0.0017867158,-0.2900069985
-0.0037812072,0.0017156843,-0.2975136274
-0.0042813887,0.0016942180,-0.2999981984
-0.0052468377,0.0016551241,-0.3049332094
-0.0061470518,0.0016209140,-0.3098115680
-0.0069561744,0.0015895837,-0.3146175073
-0.0079848734,0.0015498516,-0.3216884490
-0.0082749666,0.0015387611,-0.3240069263
-0.0087514236,0.0015192040,-0.3285721057
-0.0090900925,0.0015036989,-0.3330433504
-0.0092713791,0.0014905575,-0.3374088684
-0.0092941015,0.0014735939,-0.3437987853
-0.0092330087,0.0014692533,-0.3458861493
-0.0089903380,0.0014619536,-0.3499874341
-0.0086106197,0.0014550724,-0.3540089370
-0.0080727506,0.0014491145,-0.3579387636
-0.0070689509,0.0014413894,-0.3637391150
-0.0066854646,0.0014386596,-0.3656513628
-0.0058360876,0.0014306407,-0.3694396853
-0.0049063960,0.0014214385,-0.3732033519
-0.0038936551,0.0014120111,-0.3769417177
-0.0023170851,0.0013915120,-0.3825812920
-0.0017802709,0.0013836153,-0.3844737055
-0.0006970058,0.0013658654,-0.3882830950
0.0003780526,0.0013431230,-0.3921421204
0.0014298054,0.0013183511,-0.3960602424
0.0029064940,0.0012725645,-0.4020997897
0.0033696774,0.0012557355,-0.4041579505
0.0042289814,0.0012193700,-0.4083560301
0.0049974817,0.0011793590,-0.4126659419
0.0056653210,0.0011354007,-0.4170908612
0.0064587226,0.0010621279,-0.4239653024
0.0066676057,0.0010362651,-0.4263188872
0.0069828426,0.0009818397,-0.4311286682
