0.0000000000,0.0000000000,0.0000000000
0.0315500000,-0.0000000000,0.9700396865
0.0315503812,0.0000000000,0.9700370009
0.0315523470,-0.0000005381,0.9700332259
0.0315569548,-0.0000043955,0.9700255947
0.0315578636,-0.0000047382,0.9700235291
0.0315611531,-0.0000039806,0.9700138086
0.0315640701,-0.0000015845,0.9700013559
0.0315676743,0.0000019416,0.9699772403
0.0315686385,0.0000030998,0.9699677133
0.0315701693,0.0000053911,0.9699463740
0.0315711330,0.0000076491,0.9699219391
0.0315714931,0.0000098745,0.9698943585
0.0315708572,0.0000131537,0.9698470068
0.0315703283,0.0000142312,0.9698296147
0.0315688001,0.0000163635,0.9697924080
0.0315666606,0.0000184662,0.9697519691
0.0315639416,0.0000205403,0.9697083075
0.0315588710,0.0000236012,0.9696368160
0.0315569419,0.0000246086,0.9696113998
0.0315527719,0.0000266053,0.9695582181
0.0315482445,0.0000285784,0.9695019437
0.0315434414,0.0000305280,0.9694426354
0.0315358966,0.0000334106,0.9693481180
0.0315333309,0.0000343607,0.9693151626
0.0315281890,0.0000362450,0.9692471306
0.0315231029,0.0000381083,0.9691763304
0.0315181620,0.0000399505,0.9691028392
0.0315111922,0.0000426741,0.9689877139
0.0315090207,0.0000435713,0.9689480690
0.0315049548,0.0000453491,0.9688669248
0.0315013057,0.0000471044,0.9687833608
0.0314981294,0.0000488364,0.9686974393
0.0314943297,0.0000513885,0.9685642473
0.0314933310,0.0000522262,0.9685187213
0.0314917480,0.0000538814,0.9684260047
0.0314907206,0.0000555084,0.9683310929
0.0314902466,0.0000571058,0.9682340107
0.0314905304,0.0000594437,0.9680843460
0.0314908733,0.0000602070,0.9680333815
0.0314919023,0.0000617086,0.9679298368
0.0314933480,0.0000631760,0.9678241307
0.0314951542,0.0000646079,0.9677162483
0.0314983984,0.0000666870,0.9675502984
0.0314995877,0.0000673615,0.9674938687
0.0315020733,0.0000686823,0.9673793182
0.0315046381,0.0000699652,0.9672624868
0.0315072032,0.0000712094,0.9671433402
0.0315108854,0.0000730044,0.9669602070
0.0315120320,0.0000735839,0.9668979697
0.0315141506,0.0000747155,0.9667716817
0.0315159820,0.0000758108,0.9666429526
0.0315174656,0.0000768704,0.9665117563
0.0315189257,0.0000783967,0.9663102901
0.0315191874,0.0000788894,0.9662418812
0.0315193477,0.0000798519,0.9661031752
0.0315190046,0.0000807853,0.9659619480
0.0315181451,0.0000816916,0.9658182015
0.0315158846,0.0000830044,0.9655978766
0.0315148765,0.0000834306,0.9655231874
0.0315124921,0.0000842678,0.9653719525
0.0315096406,0.0000850866,0.9652182638
0.0315063613,0.0000858890,0.9650621539
0.0315007434,0.0000870657,0.9648235281
0.0314987104,0.0000874517,0.9647428158
0.0314944492,0.0000882161,0.9645796679
0.0314899840,0.0000889716,0.9644142608
0.0314853887,0.0000897201,0.9642466446
0.0314784062,0.0000908312,0.9639911789
0.0314760898,0.0000911991,0.9639049680
0.0314715293,0.0000919318,0.9637309970
0.0314671247,0.0000926611,0.9635549957
0.0314629499,0.0000933871,0.9633770069
0.0314572569,0.0000944711,0.9631063708
0.0314555372,0.0000948311,0.9630151969
0.0314524042,0.0000955484,0.9628314237
0.0314497167,0.0000962615,0.9626457630
0.0314475153,0.0000969699,0.9624582274
0.0314451822,0.0000980216,0.9621734091
0.0314446700,0.0000983685,0.9620775274
0.0314440512,0.0000990559,0.9618843405
0.0314439725,0.0000997333,0.9616892370
0.0314444261,0.0001003988,0.9614921897
0.0314460602,0.0001013708,0.9611928921
0.0314468451,0.0001016869,0.9610921104
0.0314487478,0.0001023058,0.9608889862
0.0314510578,0.0001029056,0.9606837353
0.0314537272,0.0001034844,0.9604763008
0.0314582901,0.0001043089,0.9601609227
0.0314599314,0.0001045712,0.9600546378
0.0314633480,0.0001050758,0.9598402806
0.0314668917,0.0001055526,0.9596234868
0.0314704977,0.0001060004,0.9594041923
0.0314758870,0.0001066158,0.9590704268
0.0314776487,0.0001068056,0.9589578562
0.0314810784,0.0001071620,0.9587307018
0.0314843394,0.0001074868,0.9585008220
0.0314873795,0.0001077794,0.9582681706
0.0314914348,0.0001081584,0.9579139147
0.0314926353,0.0001082688,0.9577944068
0.0314947890,0.0001084659,0.9575532398
0.0314965954,0.0001086321,0.9573091911
0.0314980388,0.0001087680,0.9570622502
0.0314995140,0.0001089142,0.9566864165
0.0314998254,0.0001089429,0.9565596998
0.0315001840,0.0001089663,0.9563041190
0.0315002019,0.0001089443,0.9560456902
0.0314998982,0.0001088766,0.9557844370
0.0314988964,0.0001086875,0.9553873269
0.0314984312,0.0001086008,0.9552535791
0.0314973306,0.0001083915,0.9549840468
0.0314960355,0.0001081333,0.9547118352
0.0314945880,0.0001078252,0.9544369906
0.0314922208,0.0001072681,0.9540198897
0.0314913992,0.0001070566,0.9538795904
0.0314897391,0.0001065935,0.9535971297
0.0314880891,0.0001060754,0.9533122247
0.0314864877,0.0001055005,0.9530249209
0.0314842467,0.0001045279,0.9525895565
0.0314835561,0.0001041729,0.9524432779
0.0314822767,0.0001034148,0.9521490093
0.0314811462,0.0001025904,0.9518524815
0.0314801774,0.0001016965,0.9515537172
0.0314790308,0.0001002189,0.9511014078
0.0314787282,0.0000996883,0.9509495320
