0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0045099035,-0.0000000000,0.4983040716,-1.2018260104,0.0000000000,1.4288192143,-1.5978825926,-0.0045099035,0.0000000000,0.4983040716,-1.2018260104,0.0000000000,1.4288192143,-1.5978825926
0.0045099035,0.0000000000,0.4983520085,-1.2019218842,0.0000838896,1.4288192143,-1.5980398256,-0.0045099035,0.0000000000,0.4983520085,-1.2019218842,0.0000838896,1.4288192143,-1.5980398256
0.0045099035,0.0000000000,0.4983520085,-1.2023533163,0.0005512743,1.4288311986,-1.5987449774,-0.0044792239,0.0000000000,0.4983520085,-1.2023533163,0.0005512743,1.4288311986,-1.5988540338
0.0045099035,0.0000000000,0.4984478823,-1.2035038019,0.0016777915,1.4288311986,-1.5998022257,-0.0044485443,0.0000000000,0.4983999454,-1.2035038019,0.0017137442,1.4288551670,-1.6008450930
0.0045099035,0.0000000000,0.4984478823,-1.2037434864,0.0019294602,1.4288311986,-1.6000287276,-0.0044178647,0.0000306796,0.4984478823,-1.2037434864,0.0019654129,1.4288551670,-1.6012662186
0.0044792239,0.0000000000,0.4985437561,-1.2047022244,0.0028642298,1.4288192143,-1.6008867981,-0.0044178647,0.0000306796,0.4984958192,-1.2047022244,0.0029241509,1.4288671512,-1.6028150598
0.0044178647,-0.0000306796,0.4986875668,-1.2056609624,0.0037510624,1.4287952459,-1.6016806331,-0.0043871851,0.0000306796,0.4985916930,-1.2056130255,0.0038469362,1.4288791355,-1.6041903695
0.0043565054,-0.0000613592,0.4988793144,-1.2070031956,0.0049494849,1.4287473090,-1.6027481879,-0.0043565054,0.0000613592,0.4986875668,-1.2069552587,0.0051292483,1.4288791355,-1.6059307186
0.0043258258,-0.0000920388,0.4989751882,-1.2074346277,0.0053090116,1.4287233405,-1.6030720016,-0.0043565054,0.0000613592,0.4987355037,-1.2073866908,0.0055247277,1.4288671512,-1.6064268655
0.0042644666,-0.0001227185,0.4991189989,-1.2082495550,0.0059801282,1.4286873879,-1.6036731303,-0.0043565054,0.0000613592,0.4988313775,-1.2082495550,0.0062797339,1.4288551670,-1.6072954822
