p_x,p_y,p_z,v_x,v_y,v_z,r11,r12,r13,r21,r22,r23,r31,r32,r33
1.15085,-0.0124558,0.841725,0.189327,0.00213557,0.00552273,0.996031,-0.0711635,0.0534581,0.0768579,0.990577,-0.113358,-0.0448874,0.117016,0.992115
1.15096,-0.0125088,0.841727,0.190134,0.00192581,0.00459899,0.996025,-0.0711663,0.0535735,0.0768896,0.990535,-0.113699,-0.0449749,0.117366,0.99207
1.15106,-0.012562,0.84173,0.190941,0.00171453,0.00367509,0.996018,-0.0711689,0.0536889,0.0769214,0.990494,-0.114041,-0.0450623,0.117716,0.992024
1.15117,-0.0126153,0.841731,0.191753,0.00150225,0.00275898,0.996012,-0.0711719,0.0537949,0.0769522,0.990453,-0.114377,-0.0451409,0.11806,0.99198
1.15127,-0.0126689,0.841733,0.192565,0.00128835,0.00184272,0.996006,-0.0711749,0.0539009,0.076983,0.990411,-0.114713,-0.0452194,0.118404,0.991935
1.15138,-0.0127217,0.841733,0.193394,0.00107061,0.000953513,0.996001,-0.0711784,0.0539928,0.0770123,0.990371,-0.11504,-0.0452846,0.118738,0.991892
1.15149,-0.0127756,0.841734,0.194223,0.000850106,6.4046e-05,0.995996,-0.0711819,0.0540847,0.0770417,0.990331,-0.115368,-0.0453497,0.119073,0.991849
1.15159,-0.0128297,0.841734,0.195052,0.000628306,-0.000825556,0.995991,-0.0711853,0.0541767,0.0770711,0.99029,-0.115696,-0.0454148,0.119407,0.991806
1.1517,-0.0128839,0.841733,0.195904,0.000398196,-0.00168308,0.995986,-0.0711891,0.0542593,0.0770996,0.99025,-0.116018,-0.045471,0.119736,0.991764
1.15181,-0.0129385,0.841732,0.196756,0.000166519,-0.00254076,0.995981,-0.0711929,0.0543419,0.077128,0.99021,-0.11634,-0.0455273,0.120064,0.991722
1.15192,-0.0129924,0.841731,0.19765,-7.65888e-05,-0.00333738,0.995977,-0.0711974,0.0544108,0.0771552,0.990171,-0.116653,-0.0455705,0.120382,0.991681
1.15203,-0.0130473,0.841729,0.198545,-0.000322389,-0.00413426,0.995973,-0.0712019,0.0544796,0.0771824,0.990132,-0.116967,-0.0456137,0.120701,0.99164
1.15214,-0.0131025,0.841727,0.19944,-0.000569547,-0.00493129,0.995969,-0.0712064,0.0545484,0.0772096,0.990093,-0.11728,-0.0456569,0.121019,0.9916
1.15225,-0.0131577,0.841724,0.200367,-0.000828529,-0.00568349,0.995965,-0.0712114,0.0546083,0.077236,0.990054,-0.117588,-0.0456916,0.121331,0.99156
1.15236,-0.0132134,0.841721,0.201294,-0.00108915,-0.00643584,0.995962,-0.0712163,0.0546682,0.0772624,0.990016,-0.117895,-0.0457263,0.121643,0.99152
1.15247,-0.0132684,0.841717,0.202268,-0.0013668,-0.00711818,0.995959,-0.0712223,0.0547149,0.0772878,0.989978,-0.118193,-0.0457486,0.121944,0.991482
1.15259,-0.0133244,0.841713,0.203242,-0.00164694,-0.00780077,0.995956,-0.0712283,0.0547616,0.0773133,0.989941,-0.118491,-0.0457708,0.122246,0.991444
1.1527,-0.0133805,0.841709,0.204216,-0.00192822,-0.00848346,0.995953,-0.0712343,0.0548084,0.0773387,0.989903,-0.118789,-0.0457931,0.122547,0.991406
1.15281,-0.0134369,0.841705,0.20522,-0.00222224,-0.00912104,0.99595,-0.071241,0.0548465,0.0773635,0.989866,-0.119081,-0.0458073,0.122842,0.991369
1.15293,-0.0134934,0.8417,0.206225,-0.00251755,-0.00975874,0.995948,-0.0712477,0.0548847,0.0773884,0.989829,-0.119372,-0.0458215,0.123136,0.991331
1.15304,-0.0135495,0.841695,0.20726,-0.00282809,-0.0103433,0.995946,-0.0712557,0.0549103,0.0774125,0.989793,-0.119654,-0.0458238,0.12342,0.991296
1.15316,-0.0136065,0.841689,0.208294,-0.003141,-0.010928,0.995944,-0.0712637,0.0549359,0.0774366,0.989757,-0.119935,-0.0458262,0.123703,0.991261
1.15327,-0.0136639,0.841683,0.209328,-0.00345549,-0.0115129,0.995942,-0.0712717,0.0549615,0.0774608,0.989721,-0.120217,-0.0458285,0.123987,0.991225
1.15339,-0.0137214,0.841677,0.210373,-0.00378153,-0.0120723,0.99594,-0.0712806,0.0549789,0.0774845,0.989686,-0.120492,-0.0458231,0.124263,0.991191
1.1535,-0.0137792,0.84167,0.211418,-0.00410875,-0.0126318,0.995938,-0.0712896,0.0549962,0.0775083,0.98965,-0.120766,-0.0458177,0.124539,0.991156
1.15362,-0.0138364,0.841664,0.21246,-0.004447,-0.0131731,0.995937,-0.0713,0.0550015,0.0775315,0.989616,-0.12103,-0.0458009,0.124803,0.991124
1.15374,-0.0138947,0.841657,0.213503,-0.00478773,-0.0137146,0.995936,-0.0713104,0.0550066,0.0775547,0.989582,-0.121295,-0.045784,0.125068,0.991091
1.15386,-0.013953,0.841649,0.214545,-0.00512938,-0.0142562,0.995935,-0.0713209,0.0550118,0.0775779,0.989548,-0.121559,-0.0457672,0.125332,0.991059
1.15398,-0.0140116,0.841642,0.215576,-0.00547855,-0.0147972,0.995935,-0.0713323,0.055009,0.0776008,0.989515,-0.121816,-0.0457428,0.125589,0.991027
1.1541,-0.0140704,0.841634,0.216607,-0.00582887,-0.0153383,0.995934,-0.0713437,0.0550061,0.0776236,0.989481,-0.122073,-0.0457184,0.125846,0.990996
1.15422,-0.0141288,0.841625,0.217608,-0.0061825,-0.0158945,0.995934,-0.0713567,0.0549912,0.077646,0.989449,-0.122319,-0.0456827,0.126092,0.990966
1.15434,-0.0141882,0.841617,0.218608,-0.00653828,-0.0164509,0.995934,-0.0713696,0.0549763,0.0776683,0.989417,-0.122565,-0.045647,0.126337,0.990937
1.15446,-0.0142477,0.841608,0.219608,-0.00689513,-0.0170073,0.995934,-0.0713826,0.0549613,0.0776906,0.989384,-0.122812,-0.0456113,0.126582,0.990907
1.15458,-0.0143075,0.841599,0.220578,-0.00725361,-0.017585,0.995934,-0.0713965,0.0549384,0.0777125,0.989353,-0.123051,-0.045568,0.12682,0.990879
1.15471,-0.0143675,0.841589,0.221547,-0.00761319,-0.0181627,0.995934,-0.0714104,0.0549154,0.0777344,0.989321,-0.12329,-0.0455248,0.127058,0.99085
1.15483,-0.0144269,0.841579,0.222466,-0.00796839,-0.0187808,0.995935,-0.0714257,0.0548803,0.0777556,0.989291,-0.123519,-0.0454702,0.127284,0.990824
1.15495,-0.0144874,0.841569,0.223384,-0.00832583,-0.019399,0.995936,-0.071441,0.0548452,0.0777768,0.989261,-0.123747,-0.0454156,0.12751,0.990797
1.15508,-0.0145481,0.841559,0.224302,-0.00868441,-0.0200174,0.995937,-0.0714563,0.0548101,0.077798,0.989231,-0.123976,-0.0453609,0.127736,0.99077
1.1552,-0.014609,0.841548,0.225181,-0.00904315,-0.0206676,0.995938,-0.0714724,0.0547668,0.0778186,0.989201,-0.124197,-0.0452987,0.127955,0.990745
1.15533,-0.01467,0.841537,0.22606,-0.00940271,-0.021318,0.995939,-0.0714885,0.0547236,0.0778392,0.989172,-0.124419,-0.0452365,0.128173,0.99072
1.15545,-0.0147305,0.841525,0.226882,-0.00975768,-0.0220149,0.995941,-0.0715057,0.0546682,0.0778588,0.989144,-0.12463,-0.045163,0.128381,0.990696
1.15558,-0.0147921,0.841513,0.227704,-0.0101148,-0.022712,0.995943,-0.071523,0.0546128,0.0778784,0.989116,-0.124842,-0.0450893,0.128588,0.990673
1.15571,-0.0148537,0.841501,0.228525,-0.0104727,-0.0234091,0.995945,-0.0715402,0.0545574,0.077898,0.989087,-0.125053,-0.0450157,0.128796,0.990649
